id,Language,Language (local),Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
nia,Nias,Li Niha,"1,513","3,594","17,262",1,"1,166",11,0,9,1000
ki,Kikuyu,Gĩkũyũ,"1,503","3,07","20,531",1,"7,912",13,0,7,1000
tet,Tetum,Tetun,"1,501","3,898","66,339",2,"8,864",15,0,43,1000
lg,Luganda,Luganda,"1,418","4,806","26,701",1,"7,103",15,0,32,1000
bi,Bislama,Bislama,"1,364","3,236","41,539",2,"12,082",16,0,24,1000
tpi,Tok Pisin,Tok Pisin,"1,352","5,674","86,808",2,"12,276",15,0,156,1000
jbo,Lojban,Lojban,"1,304","5,708","111,601",2,"14,897",14,0,223,1000
roa-rup,Aromanian,Armãneashce,"1,283","4,25","205,173",1,"12,918",20,0,258,1000
fj,Fijian,Na Vosa Vakaviti,"1,275","3,627","35,376",1,"8,3",12,0,33,1000
lbe,Lak,Лакку,"1,264","14,594","50,138",2,"7,752",16,0,--,1000
kg,Kongo,Kikôngo,"1,254","2,899","43,775",1,"9,906",19,0,26,1000
nqo,N’Ko,ߒߞߏ,"1,254","2,538","9,713",1,"2,791",15,0,4,1000
xh,Xhosa,isiXhosa,"1,226","3,791","33,786",1,"11,6",21,0,39,1000
ty,Tahitian,Reo Mā`ohi,"1,218","3,007","53,052",2,"6,808",9,0,38,1000
mnw,Mon,မန်,"1,217","4,479","33,218",2,"2,588",20,0,53,1000
ks,Kashmiri,कश्मीरी / كشميري,"1,162","7,506","60,568",2,"9,239",24,9,241,1000
cu,Old Church Slavonic,Словѣньскъ,"1,161","5,551","82,471",2,"22,889",21,0,212,1000
shi,Tachelhit,Taclḥit,"1,127","3,79","33,072",2,"1,408",15,0,49,1000
srn,Sranan,Sranantongo,"1,112","2,722","39,071",1,"6,984",12,0,30,1000
trv,Seediq,Taroko,"1,107","2,051","84,692",0,"1,145",12,0,30,1000
om,Oromo,Oromoo,"1,088","3,719","37,855",1,"9,347",21,0,60,1000
sm,Samoan,Gagana Samoa,"1,062","3,257","42,463",1,"9,558",15,0,56,1000
gcr,Guianan Creole,Kriyòl Gwiyannen,"1,049","2,553","16,187",1,"2,136",10,0,13,1000
alt,Southern Altai,Алтай,"1,044","3,563","35,657",2,"1,558",8,0,58,1000
chr,Cherokee,ᏣᎳᎩ,"1,025","3,9","46,109",1,"21,619",16,0,93,1000
ltg,Latgalian,Latgaļu,"1,014","3,22","35,301",1,"6,635",10,0,52,1000
